station_id,station_name,lat,lng,corridor,corridor_type,station_role,is_terminal,is_interchange,station_importance,busy_factor,route_overlap_count,transfer_score,land_use_type,near_market,near_business_district,timestamp_utc,hour,day_of_week,is_weekend,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,traffic_confidence,traffic_pressure,temperature_2m,precipitation,rain,cloud_cover,crowd_score,label
oshodi_terminal,Oshodi Terminal,6.557,3.35,General,primary,terminal,1,1,5,0.9,3,5,mixed,0,0,2026-03-26T00:21:36.564393+00:00,1,3,0,69.0,69.0,694.0,694.0,1.0,0.0,28.4,0.0,0.0,100.0,0.386,flowing
mile_2,Mile 2,6.4698,3.3023,General,primary,terminal,1,1,5,0.85,3,5,market,1,0,2026-03-26T00:21:39.527312+00:00,1,3,0,61.0,61.0,1044.0,1044.0,1.0,0.0,28.5,0.0,0.0,100.0,0.435,moderate
ikeja_under_bridge,Ikeja Under Bridge,6.5958,3.3403,General,primary,interchange,0,1,4,0.6,3,5,business,0,1,2026-03-26T00:21:42.053325+00:00,1,3,0,31.0,31.0,8.0,8.0,1.0,0.0,27.8,0.0,0.0,100.0,0.28,flowing
ojota,Ojota,6.5952,3.3831,General,primary,interchange,0,1,4,0.7,3,5,mixed,0,0,2026-03-26T00:21:45.434864+00:00,1,3,0,41.0,41.0,28.0,28.0,1.0,0.0,27.9,0.0,0.0,100.0,0.242,flowing
berger,Berger,6.6349,3.3782,General,primary,interchange,0,1,3,0.55,3,5,mixed,0,0,2026-03-26T00:21:48.241392+00:00,1,3,0,73.0,73.0,1264.0,1264.0,1.0,0.0,28.0,0.0,0.0,100.0,0.209,flowing
cms_marina,CMS Marina,6.4505,3.3958,General,primary,terminal,1,1,2,0.4,3,5,business,0,1,2026-03-26T00:21:51.321463+00:00,1,3,0,76.0,76.0,918.0,918.0,1.0,0.0,28.5,0.0,0.0,100.0,0.336,flowing
johnson_street,Johnson Street,6.54318,3.377831,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T00:21:55.206266+00:00,1,3,0,71.0,71.0,330.0,330.0,1.0,0.0,28.5,0.0,0.0,100.0,0.038,flowing
abule_oja,Abule Oja,6.517238,3.38274,General,local,standard,0,0,3,0.48,1,2,market,1,0,2026-03-26T00:21:58.383213+00:00,1,3,0,76.0,76.0,918.0,918.0,1.0,0.0,28.5,0.0,0.0,100.0,0.0936,flowing
spencer_bus_station,Spencer Bus Station,6.502029100000001,3.377223,General,local,terminal,1,0,3,0.45,3,5,mixed,0,0,2026-03-26T00:22:02.207592+00:00,1,3,0,76.0,76.0,918.0,918.0,1.0,0.0,28.5,0.0,0.0,100.0,0.207,flowing
iyana_oworo,Iyana Oworo,6.546217,3.3980625,General,local,interchange,0,1,3,0.52,3,5,mixed,0,0,2026-03-26T00:22:04.942078+00:00,1,3,0,74.0,74.0,996.0,996.0,1.0,0.0,28.5,0.0,0.0,100.0,0.2024,flowing
laide,Laide,6.539657,3.392462999999999,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T00:22:08.004376+00:00,1,3,0,76.0,76.0,918.0,918.0,1.0,0.0,28.5,0.0,0.0,100.0,0.038,flowing
olorunsogo,Olorunsogo,6.5351119,3.3525065,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T00:22:11.242942+00:00,1,3,0,44.0,44.0,788.0,788.0,1.0,0.0,28.4,0.0,0.0,100.0,0.038,flowing
bajulaiye,Bajulaiye,6.533379,3.383108,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T00:22:14.629866+00:00,1,3,0,55.0,55.0,663.0,663.0,1.0,0.0,28.5,0.0,0.0,100.0,0.038,flowing
iyana_church,Iyana Church,6.501030000000001,3.38976,General,local,standard,0,0,3,0.5,1,2,residential,0,0,2026-03-26T00:22:17.839992+00:00,1,3,0,76.0,76.0,918.0,918.0,1.0,0.0,28.5,0.0,0.0,100.0,0.038,flowing
lawal,Lawal,6.514756999999999,3.35599,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T00:22:20.601023+00:00,1,3,0,52.0,52.0,1177.0,1177.0,1.0,0.0,28.5,0.0,0.0,100.0,0.038,flowing
st_timothy,St Timothy,6.507482,3.387555,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T00:22:24.802764+00:00,1,3,0,76.0,76.0,918.0,918.0,1.0,0.0,28.5,0.0,0.0,100.0,0.038,flowing
lady_lak,Lady Lak,6.539136999999999,3.384637,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T00:22:27.484594+00:00,1,3,0,76.0,76.0,918.0,918.0,1.0,0.0,28.5,0.0,0.0,100.0,0.038,flowing
alausa,Alausa,6.6174604,3.3594836,General,local,interchange,0,1,3,0.52,3,5,business,0,1,2026-03-26T00:22:31.259151+00:00,1,3,0,40.0,40.0,341.0,341.0,1.0,0.0,27.8,0.0,0.0,100.0,0.2624,flowing
gbagada,Gbagada,6.548821,3.388359,General,secondary,interchange,0,1,3,0.58,3,5,mixed,0,0,2026-03-26T00:22:35.231560+00:00,1,3,0,71.0,71.0,330.0,330.0,1.0,0.0,28.5,0.0,0.0,100.0,0.2156,flowing
unilag_gate_university_road,Unilag Gate (University Road),6.517602999999999,3.384831999999999,General,local,standard,0,0,3,0.5,1,2,education,0,0,2026-03-26T00:22:38.211274+00:00,1,3,0,44.0,44.0,788.0,788.0,1.0,0.0,28.5,0.0,0.0,100.0,0.038,flowing
chemist_bus_stop,Chemist Bus Stop,6.529058999999998,3.3804765,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T00:22:40.830906+00:00,1,3,0,55.0,55.0,663.0,663.0,1.0,0.0,28.5,0.0,0.0,100.0,0.038,flowing
waec_bus_station,WAEC Bus Station,6.517698800000001,3.371279200000001,General,local,terminal,1,0,3,0.5,3,5,mixed,0,0,2026-03-26T00:22:44.364238+00:00,1,3,0,44.0,44.0,788.0,788.0,1.0,0.0,28.4,0.0,0.0,100.0,0.218,flowing
abule_oja_2,Abule Oja,6.51703,3.381541,General,local,standard,0,0,3,0.48,1,2,market,1,0,2026-03-26T00:22:47.323426+00:00,1,3,0,76.0,76.0,918.0,918.0,1.0,0.0,28.5,0.0,0.0,100.0,0.0936,flowing
new_hall,New Hall,6.519029,3.392297,General,local,standard,0,0,3,0.5,1,2,education,0,0,2026-03-26T00:22:49.898770+00:00,1,3,0,76.0,76.0,918.0,918.0,1.0,0.0,28.5,0.0,0.0,100.0,0.038,flowing
iju_train_station,Iju Train Station,6.6610851,3.3200146,General,local,terminal,1,0,3,0.52,3,5,mixed,0,0,2026-03-26T00:22:52.855176+00:00,1,3,0,49.0,49.0,1457.0,1457.0,1.0,0.0,27.7,0.0,0.0,100.0,0.2224,flowing
okesuna,Okesuna,6.533609999999999,3.379921,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T00:22:55.275502+00:00,1,3,0,55.0,55.0,663.0,663.0,1.0,0.0,28.4,0.0,0.0,100.0,0.038,flowing
yabatech_main_gate,Yabatech Main Gate,6.519164,3.371761,General,secondary,standard,0,0,3,0.5,1,2,education,0,0,2026-03-26T00:22:57.872473+00:00,1,3,0,76.0,76.0,918.0,918.0,1.0,0.0,28.4,0.0,0.0,100.0,0.038,flowing
abidoun,Abidoun,6.499777,3.388271,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T00:23:00.347448+00:00,1,3,0,76.0,76.0,918.0,918.0,1.0,0.0,28.5,0.0,0.0,100.0,0.038,flowing
mushin,Mushin,6.529851699999998,3.353364999999999,General,local,interchange,0,1,4,0.6,3,5,market,1,0,2026-03-26T00:23:03.666809+00:00,1,3,0,44.0,44.0,788.0,788.0,1.0,0.0,28.4,0.0,0.0,100.0,0.28,flowing
olosha_bus_stop,Olosha Bus Stop,6.526432,3.358003,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T00:23:08.012874+00:00,1,3,0,42.0,42.0,1276.0,1276.0,1.0,0.0,28.4,0.0,0.0,100.0,0.038,flowing
jibowu_bus_stop,Jibowu Bus Stop,6.519979999999999,3.367309,General,local,interchange,0,1,3,0.56,3,5,mixed,0,0,2026-03-26T00:23:11.951406+00:00,1,3,0,52.0,52.0,1177.0,1177.0,1.0,0.0,28.4,0.0,0.0,100.0,0.2112,flowing
ayilara,Ayilara,6.510533000000001,3.36117,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T00:23:16.308887+00:00,1,3,0,52.0,52.0,1177.0,1177.0,1.0,0.0,28.5,0.0,0.0,100.0,0.038,flowing
alagomeji,Alagomeji,6.499767,3.378309,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T00:23:19.453785+00:00,1,3,0,76.0,76.0,918.0,918.0,1.0,0.0,28.5,0.0,0.0,100.0,0.038,flowing
alagomeji_bus_station,Alagomeji Bus Station,6.4997771,3.3781725,General,local,terminal,1,0,3,0.5,3,5,mixed,0,0,2026-03-26T00:23:23.472382+00:00,1,3,0,76.0,76.0,918.0,918.0,1.0,0.0,28.5,0.0,0.0,100.0,0.218,flowing
onipanu,Onipanu,6.532926000000001,3.367368,General,secondary,interchange,0,1,3,0.56,3,5,mixed,0,0,2026-03-26T00:23:26.965877+00:00,1,3,0,55.0,55.0,663.0,663.0,1.0,0.0,28.4,0.0,0.0,100.0,0.2112,flowing
onipanu_2,Onipanu,6.532806000000001,3.3671,General,secondary,interchange,0,1,3,0.56,3,5,mixed,0,0,2026-03-26T00:23:29.923856+00:00,1,3,0,52.0,52.0,1177.0,1177.0,1.0,0.0,28.4,0.0,0.0,100.0,0.2112,flowing
