station_id,station_name,lat,lng,corridor,is_terminal,is_interchange,station_importance,busy_factor,near_market,near_business_district
oshodi_terminal,Oshodi Terminal,6.557,3.35,General,1,1,5,0.9,0,0
mile_2,Mile 2,6.4698,3.3023,General,1,1,5,0.85,1,0
ikeja_under_bridge,Ikeja Under Bridge,6.5958,3.3403,General,0,1,4,0.6,0,1
ojota,Ojota,6.5952,3.3831,General,0,1,4,0.7,0,0
berger,Berger,6.6349,3.3782,General,0,1,3,0.55,0,0
cms_marina,CMS Marina,6.4505,3.3958,General,1,1,2,0.4,0,1
johnson_street,Johnson Street,6.54318,3.377831,General,0,0,3,0.5,0,0
abule_oja,Abule Oja,6.517238,3.38274,General,0,0,3,0.48,1,0
spencer_bus_station,Spencer Bus Station,6.502029100000001,3.377223,General,1,0,3,0.45,0,0
iyana_oworo,Iyana Oworo,6.546217,3.3980625,General,0,1,3,0.52,0,0
laide,Laide,6.539657,3.392462999999999,General,0,0,3,0.5,0,0
olorunsogo,Olorunsogo,6.5351119,3.3525065,General,0,0,3,0.5,0,0
bajulaiye,Bajulaiye,6.533379,3.383108,General,0,0,3,0.5,0,0
iyana_church,Iyana Church,6.501030000000001,3.38976,General,0,0,3,0.5,0,0
lawal,Lawal,6.514756999999999,3.35599,General,0,0,3,0.5,0,0
st_timothy,St Timothy,6.507482,3.387555,General,0,0,3,0.5,0,0
lady_lak,Lady Lak,6.539136999999999,3.384637,General,0,0,3,0.5,0,0
alausa,Alausa,6.6174604,3.3594836,General,0,1,3,0.52,0,1
gbagada,Gbagada,6.548821,3.388359,General,0,1,3,0.58,0,0
unilag_gate_university_road,Unilag Gate (University Road),6.517602999999999,3.384831999999999,General,0,0,3,0.5,0,0
chemist_bus_stop,Chemist Bus Stop,6.529058999999998,3.3804765,General,0,0,3,0.5,0,0
waec_bus_station,WAEC Bus Station,6.517698800000001,3.371279200000001,General,1,0,3,0.5,0,0
abule_oja_2,Abule Oja,6.51703,3.381541,General,0,0,3,0.48,1,0
new_hall,New Hall,6.519029,3.392297,General,0,0,3,0.5,0,0
iju_train_station,Iju Train Station,6.6610851,3.3200146,General,1,0,3,0.52,0,0
okesuna,Okesuna,6.533609999999999,3.379921,General,0,0,3,0.5,0,0
yabatech_main_gate,Yabatech Main Gate,6.519164,3.371761,General,0,0,3,0.5,0,0
abidoun,Abidoun,6.499777,3.388271,General,0,0,3,0.5,0,0
mushin,Mushin,6.529851699999998,3.353364999999999,General,0,1,4,0.6,1,0
olosha_bus_stop,Olosha Bus Stop,6.526432,3.358003,General,0,0,3,0.5,0,0
jibowu_bus_stop,Jibowu Bus Stop,6.519979999999999,3.367309,General,0,1,3,0.56,0,0
ayilara,Ayilara,6.510533000000001,3.36117,General,0,0,3,0.5,0,0
alagomeji,Alagomeji,6.499767,3.378309,General,0,0,3,0.5,0,0
alagomeji_bus_station,Alagomeji Bus Station,6.4997771,3.3781725,General,1,0,3,0.5,0,0
onipanu,Onipanu,6.532926000000001,3.367368,General,0,1,3,0.56,0,0
onipanu_2,Onipanu,6.532806000000001,3.3671,General,0,1,3,0.56,0,0
palmgrove_bariga,Palmgrove Bariga,6.541820999999999,3.368328,General,0,1,3,0.55,0,0
igbobi,Igbobi,6.530229,3.367605,General,0,0,3,0.5,0,0
ground,Ground,6.5294798,3.263825,General,0,0,3,0.5,0,0
charly_boy_bus_stop,Charly Boy Bus Stop,6.548371899999999,3.3787432,General,0,1,3,0.5,0,0
unilag_shuttle_bariga,Unilag Shuttle Bariga,6.534617999999999,3.391877999999999,General,0,0,3,0.5,0,0
idi_araba,Idi Araba,6.516742,3.354085,General,0,0,3,0.5,0,0
underbridge_mosalashi,Underbridge (Mosalashi),6.517128,3.368726,General,0,0,3,0.5,0,0
yaba_station,Yaba Station,6.510681999999999,3.370865999999999,General,0,1,4,0.65,0,0
ojuelegba,Ojuelegba,6.511566999999999,3.363344999999999,General,0,1,4,0.62,0,0
muritala,Muritala,6.543013999999999,3.393567999999999,General,0,0,3,0.5,0,0
nsik_motors_limited_aktc_ojuelegba,"Nsik Motors Limited (Aktc), Ojuelegba",6.510032000000001,3.3623336,General,0,0,3,0.5,0,0
church,Church,6.530596999999999,3.378789,General,0,0,3,0.5,0,0
unilag_gate_akoka_road,Unilag Gate (Akoka Road),6.517867000000001,3.384795,General,0,0,3,0.5,0,0
obanikoro,Obanikoro,6.546717999999998,3.367314,General,0,1,3,0.57,0,0
sungas,Sungas,6.535856999999999,3.38897,General,0,0,3,0.5,0,0
ojuelegba_bus_station,Ojuelegba Bus Station,6.510317,3.3626533,General,1,1,4,0.62,0,0
mfm_gate,Mfm Gate,6.509885,3.385634,General,0,0,3,0.5,0,0
alade_bus_stop,Alade Bus Stop,6.6019546,3.3538821,General,0,0,3,0.5,0,0
ibidun,Ibidun,6.51072,3.360529999999999,General,0,0,3,0.5,0,0
st_finbarrs,St Finbarrs,6.522098,3.385506,General,0,0,3,0.5,0,0
unilag,Unilag,6.517568199999999,3.3855674,General,0,0,3,0.5,0,0
gbagada_2,Gbagada,6.5491486,3.3881944,General,0,1,3,0.58,0,0
fadeyi_bus_stop,Fadeyi Bus Stop,6.522983799999999,3.3678074,General,0,1,3,0.54,0,0
ojuelegba_2,Ojuelegba,6.510960600000001,3.362959,General,0,1,4,0.62,0,0
sport_centre,Sport Centre,6.517343999999999,3.387760999999999,General,0,0,3,0.5,0,0
temple,Temple,6.540592,3.392753,General,0,0,3,0.5,0,0
fadeyi,Fadeyi,6.523944999999999,3.367264,General,0,1,3,0.54,0,0
somolu_oja_market,Somolu Oja (Market),6.533655999999999,3.376522,General,0,0,3,0.5,1,0
anthony,Anthony,6.5583349,3.3669222,General,0,1,3,0.5,0,0
adekunle_bus_stop,Adekunle Bus Stop,6.492854899999999,3.3785775,General,0,0,3,0.46,0,0
spencer,Spencer,6.502256,3.377359,General,0,0,3,0.5,0,0
st_agnes,St Agnes,6.511242,3.377295,General,0,0,3,0.5,0,0
empire,Empire,6.518226899999999,3.365297,General,0,0,3,0.5,0,0
obanikoro_2,Obanikoro,6.546634300000001,3.3669012,General,0,1,3,0.57,0,0
iwaya_garage,Iwaya Garage,6.505861000000001,3.391235,General,0,0,3,0.5,0,0
empire_2,Empire,6.51826,3.36554,General,0,0,3,0.5,0,0
barracks,Barracks,6.505219,3.363804,General,0,0,3,0.5,0,0
ap_club,Ap Club,6.499018,3.376046999999999,General,0,0,3,0.5,0,0
church_2,Church,6.505691,3.38756,General,0,0,3,0.5,0,0
cappa,Cappa,6.547649499999999,3.3549165,General,0,0,3,0.5,0,0
fadeyi_2,Fadeyi,6.524166,3.367736,General,0,1,3,0.54,0,0
atunrase,Atunrase,6.51378,3.35761,General,0,0,3,0.5,0,0
g_u_o_transport_maza_maza_terminal,G.U.O. Transport - Maza-Maza Terminal,6.459200099999999,3.3019669,General,1,0,4,0.68,0,0
onipanu_3,Onipanu,6.533651099999999,3.3672085,General,0,1,3,0.56,0,0
adesina,Adesina,6.53441,3.384873,General,0,0,3,0.5,0,0
bariga,Bariga,6.537239999999999,3.392039999999999,General,0,0,3,0.5,0,0
onike,Onike,6.509512,3.384132,General,0,0,3,0.5,0,0
palmgrove,Palmgrove,6.541618,3.3674,General,0,1,3,0.55,0,0
